Domaine,Zone,Élément,Produit,Année,Unité,Valeur
"Indicateurs macro","Mexique","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","9287.841557"
"Indicateurs macro","Micronésie (États fédérés de)","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","3289.701226"
"Indicateurs macro","Monaco","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","167516.046763"
"Indicateurs macro","Mongolie","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","3669.409235"
"Indicateurs macro","Monténégro","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","7738.844301"
"Indicateurs macro","Montserrat","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","12058.58748"
"Indicateurs macro","Mozambique","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","461.414754"
"Indicateurs macro","Myanmar","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","1277.743698"
"Indicateurs macro","Namibie","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","5363.907541"
"Indicateurs macro","Nauru","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","12176.618389"
"Indicateurs macro","Népal","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","1065.514207"
"Indicateurs macro","Nicaragua","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","2159.158239"
"Indicateurs macro","Niger","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","517.771881"
"Indicateurs macro","Nigéria","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","1968.687237"
"Indicateurs macro","Norvège","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","75220.814442"
"Indicateurs macro","Nouvelle-Calédonie","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","33101.384336"
"Indicateurs macro","Nouvelle-Zélande","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","43943.484628"
"Indicateurs macro","Oman","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","15130.543438"
"Indicateurs macro","Ouganda","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","767.101705"
"Indicateurs macro","Ouzbékistan","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","1851.074677"
"Indicateurs macro","Pakistan","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","1455.991742"
"Indicateurs macro","Palaos","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","16148.026898"
"Indicateurs macro","Palestine","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","3397.351759"
"Indicateurs macro","Panama","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","15146.390071"
"Indicateurs macro","Papouasie-Nouvelle-Guinée","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","2695.259466"
"Indicateurs macro","Paraguay","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","5678.86754"
"Indicateurs macro","Pays-Bas","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","48989.638816"
"Indicateurs macro","Pérou","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","6710.531503"
"Indicateurs macro","Philippines","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","3123.244296"
"Indicateurs macro","Pologne","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","13872.466907"
"Indicateurs macro","Polynésie française","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","21127.527814"
"Indicateurs macro","Porto Rico","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","32697.981804"
"Indicateurs macro","Portugal","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","21515.021025"
"Indicateurs macro","Qatar","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","59124.845568"
"Indicateurs macro","République arabe syrienne","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","987.609929"
"Indicateurs macro","République centrafricaine","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","450.900697"
"Indicateurs macro","République de Corée","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","31781.12332"
"Indicateurs macro","République de Moldova","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","2381.895178"
"Indicateurs macro","République démocratique du Congo","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","462.445161"
"Indicateurs macro","République démocratique populaire lao","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","2455.211675"
"Indicateurs macro","République dominicaine","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","7609.365034"
"Indicateurs macro","République populaire démocratique de Corée","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","686.340258"
"Indicateurs macro","République-Unie de Tanzanie","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","1001.160919"
"Indicateurs macro","Roumanie","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","10771.150494"
"Indicateurs macro","Royaume-Uni de Grande-Bretagne et d'Irlande du Nord","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","40448.365256"
"Indicateurs macro","Rwanda","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","772.29317"
"Indicateurs macro","Sainte-Lucie","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","11034.684894"
"Indicateurs macro","Saint-Kitts-et-Nevis","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","19155.431731"
"Indicateurs macro","Saint-Marin","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","45398.746552"
"Indicateurs macro","Saint-Vincent-et-les Grenadines","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","7212.960181"
"Indicateurs macro","Samoa","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","4223.478963"
"Indicateurs macro","Sao Tomé-et-Principe","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","1828.194018"
"Indicateurs macro","Sénégal","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","1361.702214"
"Indicateurs macro","Serbie","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","6275.194384"
"Indicateurs macro","Seychelles","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","15850.473498"
"Indicateurs macro","Sierra Leone","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","499.38124"
"Indicateurs macro","Singapour","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","60148.750687"
"Indicateurs macro","Sint Maarten (partie néerlandaise)","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","24466.750314"
"Indicateurs macro","Slovaquie","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","17510.14429"
"Indicateurs macro","Slovénie","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","23400.712988"
"Indicateurs macro","Somalie","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","111.048078"
"Indicateurs macro","Soudan","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","2990.994843"
"Indicateurs macro","Soudan du Sud","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","327.324953"
"Indicateurs macro","Sri Lanka","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","4138.0152"
"Indicateurs macro","Suède","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","54621.345824"
"Indicateurs macro","Suisse","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","83313.013992"
"Indicateurs macro","Suriname","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","5947.369351"
"Indicateurs macro","Tadjikistan","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","848.668435"
"Indicateurs macro","Tchad","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","692.16163"
"Indicateurs macro","Tchéquie","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","20545.836143"
"Indicateurs macro","Thaïlande","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","6593.81687"
"Indicateurs macro","Timor-Leste","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","1299.496723"
"Indicateurs macro","Togo","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","829.700048"
"Indicateurs macro","Tonga","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","4522.873795"
"Indicateurs macro","Trinité-et-Tobago","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","16747.918804"
"Indicateurs macro","Tunisie","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","3481.203612"
"Indicateurs macro","Turkménistan","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","6752.362494"
"Indicateurs macro","Turquie","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","10589.573121"
"Indicateurs macro","Tuvalu","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","3982.111321"
"Indicateurs macro","Ukraine","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","2521.827514"
"Indicateurs macro","Uruguay","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","18690.915595"
"Indicateurs macro","Vanuatu","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","3082.368364"
"Indicateurs macro","Venezuela (République bolivarienne du)","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","8432.288335"
"Indicateurs macro","Viet Nam","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","2365.521494"
"Indicateurs macro","Yémen","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","745.087677"
"Indicateurs macro","Zambie","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","1534.874627"
"Indicateurs macro","Zimbabwe","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","1548.186368"
